Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Age,CIBIL_Score,Loan_Status
Male,No,1,Not Graduate,No,47491,72655,180,1.0,Rural,25,394,0
Female,Yes,0,Graduate,No,38299,240733,300,1.0,Semiurban,25,607,0
Female,Yes,1,Not Graduate,Yes,56220,55780,180,1.0,Urban,55,519,0
Male,Yes,1,Not Graduate,No,95384,62518,180,1.0,Semiurban,37,800,1
Male,No,3+,Not Graduate,Yes,60458,132345,240,1.0,Rural,33,325,0
Female,No,3+,Graduate,Yes,67804,96015,180,0.0,Semiurban,45,310,0
Male,No,1,Not Graduate,Yes,98745,414893,300,1.0,Urban,58,633,0
Female,Yes,1,Graduate,No,69088,105216,180,1.0,Rural,37,882,1
Male,Yes,2,Not Graduate,Yes,37865,285560,240,1.0,Rural,33,896,0
Female,No,3+,Not Graduate,Yes,51877,367378,360,1.0,Urban,54,656,0
Male,No,3+,Graduate,No,59038,331629,180,0.0,Semiurban,24,557,0
Male,No,0,Graduate,Yes,57982,344240,240,1.0,Semiurban,53,463,0
Female,Yes,0,Not Graduate,No,31960,210979,360,0.0,Urban,41,894,0
Male,Yes,2,Graduate,Yes,28466,449980,180,0.0,Urban,21,409,0
Female,No,1,Not Graduate,Yes,47999,80905,120,1.0,Rural,29,375,0
Female,No,0,Not Graduate,No,93140,98292,180,1.0,Semiurban,47,605,0
Female,Yes,0,Graduate,Yes,77384,435271,360,1.0,Rural,50,535,0
Female,No,1,Graduate,Yes,87337,80757,300,1.0,Semiurban,28,597,0
Female,Yes,1,Graduate,Yes,33956,136352,360,1.0,Semiurban,46,841,1
Male,Yes,2,Graduate,Yes,53141,127927,180,1.0,Rural,59,461,0
Male,No,0,Graduate,Yes,66508,64876,360,1.0,Urban,47,826,1
Male,No,2,Graduate,Yes,54745,102652,180,1.0,Semiurban,48,427,0
Female,No,2,Not Graduate,No,53336,307716,300,1.0,Urban,28,494,0
Male,Yes,1,Graduate,Yes,48783,347539,360,1.0,Urban,45,302,0
Male,No,0,Not Graduate,Yes,24126,87480,180,0.0,Rural,48,707,0
Male,No,2,Not Graduate,Yes,88577,474073,360,1.0,Urban,25,815,0
Male,No,2,Not Graduate,No,94646,93092,300,1.0,Semiurban,33,831,1
Male,Yes,1,Not Graduate,No,26467,359153,300,0.0,Semiurban,55,400,0
Male,No,1,Graduate,No,53088,410169,300,1.0,Rural,59,760,0
Female,No,2,Not Graduate,Yes,61426,284351,120,1.0,Semiurban,27,384,0
Female,No,1,Graduate,No,82714,271224,300,1.0,Rural,49,677,1
Female,Yes,1,Graduate,Yes,98939,99075,180,1.0,Rural,40,721,1
Male,No,1,Graduate,No,53305,158678,180,0.0,Rural,44,391,0
Female,Yes,1,Not Graduate,Yes,79913,432762,120,1.0,Rural,40,366,0
Male,Yes,2,Not Graduate,Yes,94988,206881,120,1.0,Urban,54,343,0
Female,No,1,Not Graduate,No,86423,65502,360,1.0,Urban,38,725,1
Female,Yes,1,Not Graduate,Yes,43237,378158,180,1.0,Semiurban,43,668,0
Female,No,2,Graduate,Yes,85399,357644,180,1.0,Semiurban,47,371,0
Male,Yes,1,Not Graduate,Yes,52978,79859,240,1.0,Rural,42,600,0
Male,No,0,Graduate,No,21401,72982,300,1.0,Rural,55,777,1
Female,No,3+,Not Graduate,No,80709,102416,240,1.0,Urban,30,442,0
Male,No,0,Graduate,No,86832,72907,240,1.0,Urban,57,663,1
Male,Yes,2,Not Graduate,No,47493,327317,360,0.0,Urban,47,475,0
Male,Yes,1,Graduate,Yes,56074,109680,240,1.0,Semiurban,58,456,0
Male,Yes,0,Not Graduate,Yes,49148,323137,300,1.0,Semiurban,35,535,0
Male,Yes,0,Graduate,Yes,29362,129262,360,1.0,Urban,39,511,0
Male,No,3+,Graduate,Yes,99585,487607,300,0.0,Rural,22,597,0
Female,Yes,1,Not Graduate,Yes,21809,376664,120,1.0,Urban,57,423,0
Female,Yes,1,Graduate,Yes,64449,218547,180,0.0,Semiurban,52,534,0
Female,Yes,2,Graduate,Yes,21194,242920,300,1.0,Rural,32,673,0
Male,Yes,0,Graduate,No,75150,79284,240,0.0,Urban,23,532,0
Female,No,2,Graduate,Yes,92067,74697,180,0.0,Rural,48,693,0
Male,No,1,Graduate,No,71476,291891,180,1.0,Rural,47,369,0
Male,Yes,2,Not Graduate,Yes,68493,60241,120,1.0,Rural,41,382,0
Male,No,0,Graduate,No,86233,337256,180,1.0,Urban,27,819,1
Male,No,3+,Graduate,No,97938,222095,300,1.0,Semiurban,56,577,0
Female,Yes,0,Graduate,No,88946,112821,120,1.0,Urban,37,665,1
Male,Yes,2,Not Graduate,Yes,38513,291059,360,1.0,Semiurban,49,743,0
Female,Yes,2,Not Graduate,Yes,65060,298787,180,0.0,Rural,54,387,0
Male,Yes,1,Graduate,No,85504,385835,360,1.0,Rural,42,883,1
Female,Yes,0,Graduate,No,43564,138995,180,1.0,Rural,24,554,0
Male,Yes,1,Graduate,Yes,74015,296319,360,1.0,Semiurban,55,833,1
Male,No,3+,Not Graduate,No,21824,430128,240,1.0,Rural,47,550,0
Female,Yes,3+,Not Graduate,Yes,90186,171495,360,1.0,Rural,55,543,0
Female,No,3+,Not Graduate,Yes,69152,425822,120,1.0,Rural,44,660,0
Male,Yes,0,Graduate,Yes,79449,375508,300,1.0,Rural,56,414,0
Female,Yes,2,Not Graduate,No,86037,243333,180,0.0,Semiurban,54,665,0
Male,No,0,Graduate,No,37502,447435,180,1.0,Urban,29,889,0
Female,No,2,Not Graduate,Yes,56043,485034,120,0.0,Urban,27,687,0
Female,No,1,Not Graduate,No,88691,156582,360,1.0,Rural,27,342,0
Male,Yes,2,Graduate,No,33176,490898,300,1.0,Urban,52,718,0
Female,Yes,2,Not Graduate,Yes,85797,51085,360,1.0,Urban,30,320,0
Male,Yes,3+,Not Graduate,No,43046,108162,240,1.0,Rural,38,362,0
Male,Yes,1,Graduate,No,66040,69428,120,0.0,Semiurban,51,470,0
Male,No,1,Graduate,No,60799,215471,180,1.0,Rural,37,482,0
Male,Yes,2,Graduate,Yes,74919,471642,240,1.0,Urban,23,302,0
Female,Yes,0,Not Graduate,No,86934,320144,120,0.0,Semiurban,35,310,0
Male,No,0,Graduate,Yes,47918,327460,360,1.0,Semiurban,24,773,0
Male,Yes,2,Graduate,Yes,33740,88177,360,1.0,Semiurban,36,572,0
Female,Yes,3+,Not Graduate,No,53826,282255,240,1.0,Semiurban,49,419,0
Male,Yes,2,Graduate,No,68971,222194,240,0.0,Urban,41,557,0
Female,Yes,3+,Graduate,No,80035,265739,300,1.0,Rural,47,715,1
Male,No,0,Not Graduate,No,80269,167527,300,1.0,Urban,25,740,1
Female,No,1,Not Graduate,No,47196,140705,120,1.0,Semiurban,50,472,0
Female,No,2,Not Graduate,No,94883,478422,240,1.0,Rural,37,400,0
Female,Yes,1,Graduate,Yes,26653,301287,300,0.0,Semiurban,32,875,0
Male,No,0,Graduate,No,29336,235213,360,1.0,Urban,46,678,0
Male,No,0,Graduate,Yes,21981,83213,240,1.0,Urban,26,889,1
Female,Yes,3+,Not Graduate,Yes,94111,393201,360,1.0,Semiurban,40,484,0
Male,No,2,Graduate,No,34409,262660,240,0.0,Semiurban,37,366,0
Female,Yes,1,Graduate,No,68117,224017,180,1.0,Rural,27,529,0
Male,No,1,Not Graduate,Yes,85036,350126,240,0.0,Urban,58,496,0
Female,No,0,Not Graduate,No,81336,109315,300,1.0,Semiurban,35,731,1
Female,Yes,3+,Not Graduate,No,95907,289938,360,0.0,Urban,22,729,0
Male,Yes,0,Graduate,Yes,24301,438418,180,1.0,Semiurban,38,342,0
Male,Yes,3+,Not Graduate,No,52565,258791,180,1.0,Semiurban,58,652,1
Female,No,0,Graduate,Yes,60491,50187,300,1.0,Urban,47,505,0
Male,Yes,1,Not Graduate,No,75691,153464,300,1.0,Urban,45,668,1
Female,No,1,Graduate,No,69810,75173,180,0.0,Urban,56,534,0
Male,Yes,3+,Not Graduate,No,64795,275085,300,0.0,Semiurban,24,622,0
Female,Yes,0,Graduate,No,44546,213972,120,1.0,Urban,42,729,1
Female,No,1,Not Graduate,No,28517,109591,180,0.0,Urban,33,476,0
Male,No,1,Graduate,No,54532,359104,360,1.0,Urban,47,419,0
Female,No,1,Not Graduate,Yes,40772,129473,240,1.0,Urban,54,723,1
Male,Yes,0,Graduate,Yes,64343,203766,360,1.0,Urban,24,868,1
Female,Yes,3+,Graduate,Yes,83770,494465,180,1.0,Semiurban,27,566,0
Male,Yes,1,Graduate,No,64203,79840,180,1.0,Urban,58,898,1
Male,No,1,Not Graduate,No,66643,161467,360,1.0,Urban,40,410,0
Male,No,1,Graduate,Yes,23348,193028,360,1.0,Urban,33,791,0
Male,Yes,3+,Graduate,Yes,71571,278930,360,1.0,Urban,26,892,1
Male,No,1,Not Graduate,No,55158,160241,180,0.0,Urban,34,479,0
Female,Yes,1,Graduate,No,29895,486512,360,1.0,Urban,21,388,0
Male,No,1,Graduate,Yes,37105,52438,240,1.0,Rural,29,698,1
Female,No,1,Not Graduate,No,82459,476625,360,1.0,Rural,28,821,0
Male,No,0,Not Graduate,No,93335,290660,360,1.0,Urban,24,349,0
Male,Yes,2,Not Graduate,No,60617,67227,240,1.0,Urban,58,684,1
Female,No,0,Not Graduate,No,98126,102490,180,1.0,Semiurban,51,822,1
Female,Yes,0,Graduate,No,34403,96373,360,1.0,Rural,57,319,0
Male,No,0,Graduate,No,43971,179373,240,1.0,Rural,30,609,0
Male,Yes,1,Graduate,No,94405,199878,240,0.0,Rural,32,346,0
Female,No,3+,Not Graduate,No,34014,338535,300,0.0,Urban,32,405,0
Female,Yes,2,Not Graduate,Yes,72750,190040,360,1.0,Semiurban,42,591,0
Female,Yes,3+,Graduate,Yes,37560,376302,120,0.0,Semiurban,28,496,0
Male,No,1,Not Graduate,Yes,46494,182208,360,0.0,Semiurban,30,351,0
Male,No,3+,Graduate,No,58220,168555,240,1.0,Rural,59,780,1
Female,Yes,0,Graduate,Yes,48799,173912,120,1.0,Urban,34,421,0
Female,No,2,Not Graduate,No,89960,198137,180,1.0,Semiurban,51,822,1
Male,Yes,3+,Not Graduate,Yes,97823,426982,240,1.0,Urban,29,406,0
Male,Yes,2,Not Graduate,Yes,60002,161109,300,1.0,Urban,57,611,0
Male,Yes,3+,Not Graduate,Yes,62017,172966,240,0.0,Urban,48,736,0
Female,Yes,1,Not Graduate,No,24431,480599,120,1.0,Rural,54,588,0
Male,Yes,0,Not Graduate,Yes,38736,344184,240,1.0,Semiurban,41,550,0
Male,Yes,3+,Graduate,No,23190,135733,180,1.0,Rural,56,750,0
Male,Yes,0,Graduate,No,88531,440680,180,1.0,Rural,35,307,0
Female,Yes,3+,Not Graduate,No,38191,132431,300,1.0,Semiurban,39,795,1
Male,Yes,2,Graduate,Yes,47250,122951,360,0.0,Rural,23,713,0
Male,No,3+,Graduate,No,87421,250265,120,1.0,Urban,27,758,1
Male,No,1,Graduate,No,77063,361072,300,1.0,Rural,51,552,0
Male,Yes,3+,Graduate,Yes,69718,135187,240,1.0,Urban,33,530,0
Female,Yes,0,Not Graduate,Yes,23077,388999,180,1.0,Semiurban,24,643,0
Male,No,1,Graduate,No,65036,120518,300,1.0,Rural,32,685,1
Male,No,0,Graduate,No,64871,401792,180,1.0,Rural,34,855,0
Female,No,3+,Not Graduate,Yes,45517,93145,300,1.0,Urban,48,814,1
Male,No,2,Graduate,Yes,79594,258995,240,1.0,Rural,24,332,0
Female,No,3+,Graduate,Yes,94354,338077,120,0.0,Urban,22,391,0
Female,No,3+,Graduate,No,40722,169510,300,1.0,Rural,49,867,1
Male,Yes,1,Not Graduate,Yes,46494,325437,360,1.0,Semiurban,26,532,0
Female,Yes,0,Graduate,Yes,45786,359892,240,1.0,Urban,37,648,0
Male,Yes,3+,Not Graduate,Yes,86795,342573,300,0.0,Rural,47,333,0
Female,Yes,1,Graduate,Yes,26221,228602,120,1.0,Rural,41,362,0
Male,No,0,Not Graduate,Yes,91672,397985,180,1.0,Urban,25,545,0
Female,No,3+,Graduate,Yes,82002,379248,180,1.0,Urban,49,730,1
Female,No,3+,Not Graduate,No,58666,196861,300,1.0,Urban,22,763,1
Female,Yes,1,Graduate,No,66681,380038,180,1.0,Semiurban,30,836,0
Male,Yes,3+,Not Graduate,Yes,91543,463290,300,1.0,Semiurban,25,418,0
Male,Yes,0,Graduate,Yes,81586,417518,180,1.0,Rural,40,421,0
Male,No,0,Graduate,Yes,42144,379942,300,1.0,Rural,47,625,0
Male,Yes,1,Graduate,No,24032,394932,180,1.0,Urban,46,628,0
Female,Yes,2,Graduate,Yes,72674,412118,240,1.0,Semiurban,26,321,0
Male,No,0,Graduate,Yes,31664,180103,120,1.0,Rural,34,568,0
Female,No,0,Not Graduate,No,27037,374432,300,1.0,Rural,26,838,0
Female,No,2,Graduate,Yes,98583,139741,120,1.0,Urban,34,398,0
Male,Yes,3+,Graduate,Yes,57914,211305,360,1.0,Urban,29,792,1
Male,Yes,2,Not Graduate,Yes,72067,470537,360,1.0,Urban,49,568,0
Female,Yes,3+,Graduate,Yes,37386,177364,240,1.0,Semiurban,50,614,0
Male,Yes,3+,Graduate,No,28135,429630,360,1.0,Semiurban,52,684,0
Male,No,2,Graduate,No,25021,240132,360,0.0,Semiurban,28,723,0
Female,Yes,2,Graduate,Yes,48349,144438,120,0.0,Urban,21,682,0
Female,Yes,3+,Graduate,Yes,20298,93663,300,1.0,Semiurban,22,362,0
Male,No,1,Graduate,Yes,53604,296698,180,1.0,Urban,53,477,0
Male,Yes,0,Graduate,No,45980,253076,360,1.0,Semiurban,56,807,0
Male,Yes,3+,Not Graduate,Yes,62146,280104,360,1.0,Urban,29,324,0
Female,Yes,1,Graduate,Yes,67162,69413,360,1.0,Rural,55,729,1
Female,Yes,3+,Not Graduate,No,44674,170655,240,0.0,Semiurban,41,612,0
Female,Yes,1,Not Graduate,Yes,56418,51775,120,0.0,Urban,28,371,0
Female,No,3+,Graduate,Yes,26247,186120,120,1.0,Rural,33,373,0
Female,No,0,Graduate,Yes,44141,469174,120,1.0,Rural,31,888,0
Male,Yes,2,Not Graduate,No,98255,118540,360,1.0,Urban,50,318,0
Male,Yes,1,Not Graduate,No,99296,360201,240,1.0,Urban,28,313,0
Female,Yes,1,Graduate,No,58864,52601,180,1.0,Urban,28,310,0
Female,No,1,Not Graduate,Yes,95162,302831,240,0.0,Semiurban,49,677,0
Female,No,3+,Not Graduate,No,60104,464421,120,0.0,Semiurban,32,855,0
Male,No,1,Graduate,No,30052,203495,240,1.0,Semiurban,30,403,0
Male,Yes,3+,Graduate,Yes,89432,138722,240,1.0,Semiurban,52,777,1
Male,Yes,1,Not Graduate,Yes,53208,306742,300,1.0,Semiurban,57,731,0
Male,Yes,0,Graduate,Yes,68994,175525,120,0.0,Urban,42,437,0
Female,Yes,3+,Not Graduate,No,71907,451209,360,1.0,Urban,53,342,0
Female,Yes,0,Graduate,Yes,44642,432049,120,1.0,Rural,53,592,0
Male,No,1,Not Graduate,Yes,78679,343571,240,1.0,Rural,43,348,0
Male,Yes,3+,Graduate,No,60104,337567,180,1.0,Rural,53,368,0
Female,No,3+,Graduate,Yes,49309,321116,300,1.0,Rural,21,579,0
Male,No,3+,Graduate,No,43833,380881,300,1.0,Semiurban,22,789,0
Female,No,1,Graduate,Yes,79702,257092,120,1.0,Rural,55,896,1
Female,Yes,3+,Not Graduate,Yes,39947,486385,240,0.0,Rural,26,676,0
Male,No,1,Graduate,No,29932,205563,240,1.0,Rural,49,465,0
Male,Yes,2,Not Graduate,No,90539,54022,240,1.0,Urban,37,496,0
Female,Yes,2,Not Graduate,Yes,46545,364346,120,1.0,Urban,51,667,0
Female,Yes,0,Graduate,No,71282,348002,120,1.0,Semiurban,46,403,0
Male,Yes,1,Not Graduate,No,77314,491441,240,1.0,Semiurban,23,611,0
Female,No,1,Not Graduate,Yes,87067,227896,180,1.0,Rural,34,761,1
Female,No,1,Not Graduate,No,70054,241140,240,1.0,Urban,48,805,1
Female,No,1,Graduate,Yes,76635,302900,120,0.0,Rural,56,335,0
Male,Yes,2,Not Graduate,No,86976,226492,300,1.0,Rural,52,473,0
Female,Yes,0,Not Graduate,Yes,95468,403185,120,1.0,Rural,55,452,0
